year,month,division,dose,births,coverage_baseline,doses_baseline,stockout_flag,surge_doses,doses_disrupted
2020,1,Barishal,MR1,13265.704263539974,0.8808,13437.09716262491,0,0.0,13437.09716262491
2020,2,Barishal,MR1,13194.287288145426,0.8808,13364.757479908265,0,0.0,13364.757479908265
2020,3,Barishal,MR1,14587.813204257382,0.8808,14776.287750856387,0,0.0,14776.287750856387
2020,4,Barishal,MR1,14966.614847515097,0.8808,15159.983511344992,0,0.0,15159.983511344992
2020,5,Barishal,MR1,15675.598118434724,0.8808,15878.126846124898,0,0.0,15878.126846124898
2020,6,Barishal,MR1,14689.36722504458,0.8808,14879.153849592154,0,0.0,14879.153849592154
2020,7,Barishal,MR1,15076.818045603477,0.8808,15271.610534752674,0,0.0,15271.610534752674
2020,8,Barishal,MR1,14161.926047101391,0.8808,14344.898131629941,0,0.0,14344.898131629941
2020,9,Barishal,MR1,13965.411815277346,0.8808,14145.844935930729,0,0.0,14145.844935930729
2020,10,Barishal,MR1,13266.264490640287,0.8808,13437.66462785936,0,0.0,13437.66462785936
2020,11,Barishal,MR1,13558.248934558776,0.8808,13733.421510793274,0,0.0,13733.421510793274
2020,12,Barishal,MR1,12130.285296132472,0.8808,12287.008582158503,0,0.0,12287.008582158503
2021,1,Barishal,MR1,12934.172332599353,0.8756,13023.935488587593,0,0.0,13023.935488587593
2021,2,Barishal,MR1,13566.868762882272,0.8756,13661.022832096674,0,0.0,13661.022832096674
2021,3,Barishal,MR1,13996.575561472282,0.8756,14093.7117958689,0,0.0,14093.7117958689
2021,4,Barishal,MR1,14971.920732318527,0.8756,15075.825862200818,0,0.0,15075.825862200818
2021,5,Barishal,MR1,15273.864054101867,0.8756,15379.864670637333,0,0.0,15379.864670637333
2021,6,Barishal,MR1,14895.908970835153,0.8756,14999.286579092748,0,0.0,14999.286579092748
2021,7,Barishal,MR1,14634.325525781815,0.8756,14735.88774493074,0,0.0,14735.88774493074
2021,8,Barishal,MR1,13539.252404918167,0.8756,13633.214816608299,0,0.0,13633.214816608299
2021,9,Barishal,MR1,13860.297878573185,0.8756,13956.488345850481,0,0.0,13956.488345850481
2021,10,Barishal,MR1,13926.988992010896,0.8756,14023.642295615453,0,0.0,14023.642295615453
2021,11,Barishal,MR1,13175.412066328094,0.8756,13266.849426068411,0,0.0,13266.849426068411
2021,12,Barishal,MR1,12838.34172242274,0.8756,12927.439813976353,0,0.0,12927.439813976353
2022,1,Barishal,MR1,12811.646000261495,0.8704,12823.945180421744,0,0.0,12823.945180421744
2022,2,Barishal,MR1,13621.11265718331,0.8704,13634.188925334203,0,0.0,13634.188925334203
2022,3,Barishal,MR1,14639.919293596115,0.8704,14653.973616117964,0,0.0,14653.973616117964
2022,4,Barishal,MR1,13703.224181427719,0.8704,13716.379276641888,0,0.0,13716.379276641888
2022,5,Barishal,MR1,14861.286981055006,0.8704,14875.553816556818,0,0.0,14875.553816556818
2022,6,Barishal,MR1,15031.494387641827,0.8704,15045.92462225396,0,0.0,15045.92462225396
2022,7,Barishal,MR1,15238.983142428717,0.8704,15253.612566245447,0,0.0,15253.612566245447
2022,8,Barishal,MR1,14390.333501268187,0.8704,14404.148221429405,0,0.0,14404.148221429405
2022,9,Barishal,MR1,13405.255939111592,0.8704,13418.124984813137,0,0.0,13418.124984813137
2022,10,Barishal,MR1,12485.019832950515,0.8704,12497.005451990146,0,0.0,12497.005451990146
2022,11,Barishal,MR1,13208.251164366964,0.8704,13220.931085484754,0,0.0,13220.931085484754
2022,12,Barishal,MR1,12678.755227075122,0.8704,12690.926832093111,0,0.0,12690.926832093111
2023,1,Barishal,MR1,12800.500192456324,0.8652,12736.241681490192,0,0.0,12736.241681490192
2023,2,Barishal,MR1,13480.713073700386,0.8652,13413.039894070409,0,0.0,13413.039894070409
2023,3,Barishal,MR1,14199.508630501474,0.8652,14128.227097176356,0,0.0,14128.227097176356
2023,4,Barishal,MR1,14334.094844403833,0.8652,14262.137688284924,0,0.0,14262.137688284924
2023,5,Barishal,MR1,14867.0580179301,0.8652,14792.42538668009,0,0.0,14792.42538668009
2023,6,Barishal,MR1,14907.639328967314,0.8652,14832.802979535896,0,0.0,14832.802979535896
2023,7,Barishal,MR1,14216.915361621424,0.8652,14145.546446506083,0,0.0,14145.546446506083
2023,8,Barishal,MR1,14614.165799475859,0.8652,14540.802687162488,0,0.0,14540.802687162488
2023,9,Barishal,MR1,13364.753027199153,0.8652,13297.66196700261,0,0.0,13297.66196700261
2023,10,Barishal,MR1,13524.47306017122,0.8652,13456.580205409158,0,0.0,13456.580205409158
2023,11,Barishal,MR1,12719.785294732588,0.8652,12655.93197255303,0,0.0,12655.93197255303
2023,12,Barishal,MR1,12983.047734036394,0.8652,12917.87283441153,0,0.0,12917.87283441153
2024,1,Barishal,MR1,12851.026984731592,0.86,12709.665687899544,0,0.0,12709.665687899544
2024,2,Barishal,MR1,14247.831788076697,0.86,14091.105638407853,0,0.0,14091.105638407853
2024,3,Barishal,MR1,14047.200539007106,0.86,13892.681333078026,0,0.0,13892.681333078026
2024,4,Barishal,MR1,15072.139726802769,0.86,14906.346189807937,0,0.0,14906.346189807937
2024,5,Barishal,MR1,15399.481886729534,0.86,15230.087585975509,0,0.0,15230.087585975509
2024,6,Barishal,MR1,14608.93812683325,0.86,14448.239807438084,0,0.0,14448.239807438084
2024,7,Barishal,MR1,14297.171878958296,0.86,14139.902988289754,1,0.0,9700.631119873204
2024,8,Barishal,MR1,14098.882280958938,0.86,13943.794575868387,1,0.0,9566.091627630638
2024,9,Barishal,MR1,13738.102704758907,0.86,13586.98357500656,1,0.0,9321.302685178918
2024,10,Barishal,MR1,14032.855085695179,0.86,13878.49367975253,1,0.0,9521.292175644177
2024,11,Barishal,MR1,13546.55298796961,0.86,13397.540905101943,1,0.0,9191.33620233738
2024,12,Barishal,MR1,12695.07516747695,0.86,12555.429340634704,1,0.0,8613.60850113311
2025,1,Barishal,MR1,12483.992382997574,0.86,12346.6684667846,1,0.0,8470.388831863853
2025,2,Barishal,MR1,14483.493091047201,0.86,14324.174667045681,1,0.0,9827.050062275526
2025,3,Barishal,MR1,13973.504909548305,0.86,13819.796355543273,1,0.0,9481.023081128524
2025,4,Barishal,MR1,14940.004561086758,0.86,14775.664510914801,1,0.0,10136.793094697363
2025,5,Barishal,MR1,14964.125074167761,0.86,14799.519698351914,1,0.0,10153.158862822826
2025,6,Barishal,MR1,14566.55085848509,0.86,14406.318799041754,1,0.0,9883.404757482132
2025,7,Barishal,MR1,15050.56697791615,0.86,14885.010741159072,1,0.0,10211.809694516109
2025,8,Barishal,MR1,13438.558067629761,0.86,13290.733928885833,1,0.0,9118.061648886793
2025,9,Barishal,MR1,13415.32448613369,0.86,13267.755916786218,1,0.0,9102.297663841708
2025,10,Barishal,MR1,13685.117861505763,0.86,13534.581565029199,1,0.0,9285.352469031659
2025,11,Barishal,MR1,13111.74707123154,0.86,12967.517853447991,1,0.0,8896.320387830598
2025,12,Barishal,MR1,12943.462844756988,0.86,12801.084753464662,1,0.0,8782.139540167616
2026,1,Barishal,MR1,12172.869626342828,0.86,12038.968060453057,0,0.0,12038.968060453057
2026,2,Barishal,MR1,14045.633473111102,0.86,13891.13150490688,0,0.0,13891.13150490688
2026,3,Barishal,MR1,14215.676872643087,0.86,14059.304427044011,0,186300.0,200359.304427044
2026,4,Barishal,MR1,15216.62242554549,0.86,15049.239578864488,0,186300.0,201349.23957886448
2026,5,Barishal,MR1,14825.335462975492,0.86,14662.25677288276,0,186300.0,200962.25677288277
2026,6,Barishal,MR1,14788.322139883989,0.86,14625.650596345264,0,186300.0,200925.65059634525
2026,7,Barishal,MR1,13391.150625683014,0.86,13243.8479688005,0,0.0,13243.8479688005
2026,8,Barishal,MR1,14539.612724009148,0.86,14379.676984045045,0,0.0,14379.676984045045
2026,9,Barishal,MR1,13265.068286689408,0.86,13119.152535535823,0,0.0,13119.152535535823
2026,10,Barishal,MR1,13520.504731968245,0.86,13371.779179916593,0,0.0,13371.779179916593
2026,11,Barishal,MR1,13649.263537358978,0.86,13499.121638448029,0,0.0,13499.121638448029
2026,12,Barishal,MR1,12083.913227236986,0.86,11950.99018173738,0,0.0,11950.99018173738
2027,1,Barishal,MR1,13450.33660899153,0.86,13302.382906292623,0,0.0,13302.382906292623
2027,2,Barishal,MR1,14093.224564955377,0.86,13938.199094740867,0,0.0,13938.199094740867
2027,3,Barishal,MR1,13607.98091107724,0.86,13458.293121055389,0,0.0,13458.293121055389
2027,4,Barishal,MR1,13671.999872020899,0.86,13521.60787342867,0,0.0,13521.60787342867
2027,5,Barishal,MR1,14620.51722124842,0.86,14459.691531814686,0,0.0,14459.691531814686
2027,6,Barishal,MR1,14659.709121708564,0.86,14498.452321369768,0,0.0,14498.452321369768
2027,7,Barishal,MR1,14538.183583603235,0.86,14378.263564183599,0,0.0,14378.263564183599
2027,8,Barishal,MR1,14144.15231580303,0.86,13988.566640329196,0,0.0,13988.566640329196
2027,9,Barishal,MR1,13374.262651256113,0.86,13227.145762092294,0,0.0,13227.145762092294
2027,10,Barishal,MR1,13185.281407068669,0.86,13040.243311590913,0,0.0,13040.243311590913
2027,11,Barishal,MR1,13870.647492079766,0.86,13718.070369666888,0,0.0,13718.070369666888
2027,12,Barishal,MR1,12855.305851632502,0.86,12713.897487264543,0,0.0,12713.897487264543
2028,1,Barishal,MR1,13161.99889689407,0.86,13017.216909028235,0,0.0,13017.216909028235
2028,2,Barishal,MR1,14056.278500257815,0.86,13901.659436754979,0,0.0,13901.659436754979
2028,3,Barishal,MR1,14426.977714111534,0.86,14268.280959256306,0,0.0,14268.280959256306
